Trip ID,Subscription (Y or N),ADA/Non,Anchor,RequestTime,PCAs,Companions,ServiceAnimal,PickHouseNumber,PickAddress1,Pickcity,pickzip,DropHouseNumber,DropAddress1,Dropcity,DropZip,PickFullAddress,DropFullAddress,PickGeo,DropGeo
707,N,ADA,P,12:30 PM,0,0,N,27,WILSON WAY,WESTWOOD,2090,36,PERRIN ST,ROXBURY,2119,"27 WILSON WAY, WESTWOOD, 2090","36 PERRIN ST, ROXBURY, 2119","42.2149672,-71.1842008","42.32218839999999,-71.0786962"
708,N,ADA,A,11:00 AM,0,0,N,34,PERRIN ST,ROXBURY,2119,25,WILSON WAY,WESTWOOD,2090,"34 PERRIN ST, ROXBURY, 2119","25 WILSON WAY, WESTWOOD, 2090","42.3222437,-71.07862709999999","42.2149316,-71.1842482"
709,N,ADA,A,12:00 PM,1,0,N,571,MASSACHUSETTS AVE,BOSTON,2118,183,BEAR HILL RD,WALTHAM,2451,"571 MASSACHUSETTS AVE, BOSTON, 2118","183 BEAR HILL RD, WALTHAM, 2451","42.337471,-71.078643","42.3830644,-71.26556959999999"
710,N,ADA,P,12:45 PM,1,0,N,184,BEAR HILL RD,WALTHAM,2451,572,MASSACHUSETTS AVE,BOSTON,2118,"184 BEAR HILL RD, WALTHAM, 2451","572 MASSACHUSETTS AVE, BOSTON, 2118","42.3824859,-71.2657584","42.337809,-71.078138"
711,N,ADA,A,7:40 AM,0,0,Y,14,RALPH RD,DANVERS,1923,52,Congress St,SALEM,1970,"14 RALPH RD, DANVERS, 1923","52 Congress St, SALEM, 1970","42.550221,-70.9530604","42.5178888,-70.88954009999999"
712,N,ADA,P,4:30 PM,0,0,Y,52,Congress St,SALEM,1970,14,RALPH RD,DANVERS,1923,"52 Congress St, SALEM, 1970","14 RALPH RD, DANVERS, 1923","42.5178888,-70.88954009999999","42.550221,-70.9530604"
713,N,ADA,A,5:45 PM,0,0,N,94,SUMNER ST,DORCHESTER,2125,49,NICHOLS AVE,WATERTOWN,2472,"94 SUMNER ST, DORCHESTER, 2125","49 NICHOLS AVE, WATERTOWN, 2472","42.3162299,-71.0624572","42.36784979999999,-71.1587493"
714,N,ADA,P,10:00 PM,0,0,N,49,NICHOLS AVE,WATERTOWN,2472,94,SUMNER ST,DORCHESTER,2125,"49 NICHOLS AVE, WATERTOWN, 2472","94 SUMNER ST, DORCHESTER, 2125","42.36784979999999,-71.1587493","42.3162299,-71.0624572"
715,N,ADA,P,3:00 PM,0,0,N,67,NEWPORT AVE,QUINCY,2171,153,HALLET ST,DORCHESTER CENTER,2124,"67 NEWPORT AVE, QUINCY, 2171","153 HALLET ST, DORCHESTER CENTER, 2124","42.2725527,-71.0275722","42.2807858,-71.047376"
716,N,ADA,A,10:00 AM,0,0,N,157,HALLET ST,DORCHESTER CENTER,2124,71,NEWPORT AVE,QUINCY,2171,"157 HALLET ST, DORCHESTER CENTER, 2124","71 NEWPORT AVE, QUINCY, 2171","42.2806334,-71.0470472","42.2724402,-71.0274199"
717,N,ADA,A,10:30 AM,0,0,N,5,BISHOP ST,JAMAICA PLAIN,2130,15,FORDHAM RD,ALLSTON,2134,"5 BISHOP ST, JAMAICA PLAIN, 2130","15 FORDHAM RD, ALLSTON, 2134","42.3095058,-71.1097594","42.3518877,-71.1280422"
718,N,ADA,P,12:15 PM,0,0,N,21,FORDHAM RD,ALLSTON,2134,11,BISHOP ST,JAMAICA PLAIN,2130,"21 FORDHAM RD, ALLSTON, 2134","11 BISHOP ST, JAMAICA PLAIN, 2130","42.352042,-71.12781079999999","42.3093239,-71.1094565"
719,N,ADA,A,1:00 PM,0,0,N,4,KingsBIRD RD,DORCHESTER,2124,3,BINNEY ST,FENWAY,2115,"4 KingsBIRD RD, DORCHESTER, 2124","3 BINNEY ST, FENWAY, 2115","42.2926843,-71.0940227","42.3370603,-71.1075714"
720,N,ADA,P,4:00 PM,0,0,N,7,BINNEY ST,FENWAY,2115,8,KingsBIRD RD,DORCHESTER,2124,"7 BINNEY ST, FENWAY, 2115","8 KingsBIRD RD, DORCHESTER, 2124","42.3365363,-71.1079414","42.2924783,-71.0940881"
721,N,ADA,P,2:30 PM,0,0,N,84,Coddington St,QUINCY,2169,405,E SQUANTUM ST,QUINCY,2171,"84 Coddington St, QUINCY, 2169","405 E SQUANTUM ST, QUINCY, 2171","42.2539498,-70.99878559999999","42.2870904,-71.023732"
722,N,ADA,A,1:00 PM,0,0,N,404,E SQUANTUM ST,QUINCY,2171,83,Coddington St,QUINCY,2169,"404 E SQUANTUM ST, QUINCY, 2171","83 Coddington St, QUINCY, 2169","42.2881294,-71.02316549999999","42.2535853,-70.99929180000001"
723,N,ADA,A,11:00 AM,0,0,N,47,Centre St,DORCHESTER CENTER,2124,872,River St,HYDE PARK,2136,"47 Centre St, DORCHESTER CENTER, 2124","872 River St, HYDE PARK, 2136","42.2929694,-71.0638977","42.2623077,-71.1087744"
724,N,ADA,P,12:30 PM,0,0,N,877,River St,HYDE PARK,2136,52,Centre St,DORCHESTER CENTER,2124,"877 River St, HYDE PARK, 2136","52 Centre St, DORCHESTER CENTER, 2124","42.26205640000001,-71.1092946","42.2911027,-71.0692767"
725,N,ADA,A,10:00 AM,1,0,N,335,MASSACHUSETTS AVE,BOSTON,2115,202,Crown Colony Dr,QUINCY,2169,"335 MASSACHUSETTS AVE, BOSTON, 2115","202 Crown Colony Dr, QUINCY, 2169","42.342167,-71.0845291","42.23515769999999,-71.0189512"
726,N,ADA,P,1:12 PM,1,0,N,205,Crown Colony Dr,QUINCY,2169,338,MASSACHUSETTS AVE,BOSTON,2115,"205 Crown Colony Dr, QUINCY, 2169","338 MASSACHUSETTS AVE, BOSTON, 2115","42.23515769999999,-71.0189512","42.3424707,-71.08408419999999"
727,N,ADA,A,10:15 AM,0,0,N,606,DECELLE DR,RANDOLPH,2368,6,FRUIT ST,BOSTON,2114,"606 DECELLE DR, RANDOLPH, 2368","6 FRUIT ST, BOSTON, 2114","42.1680643,-71.0376395","42.362355,-71.068679"
728,N,ADA,P,1:30 PM,0,0,N,5,FRUIT ST,BOSTON,2114,605,DECELLE DR,RANDOLPH,2368,"5 FRUIT ST, BOSTON, 2114","605 DECELLE DR, RANDOLPH, 2368","42.3623546,-71.06867869999999","42.1679559,-71.0373512"
729,N,ADA,A,1:15 PM,1,0,N,43,WESTWIND RD,DORCHESTER,2125,333,BROOKLINE AVE,BOSTON,2215,"43 WESTWIND RD, DORCHESTER, 2125","333 BROOKLINE AVE, BOSTON, 2215","42.3189042,-71.0418531","42.3402523,-71.1058517"
730,N,ADA,A,2:00 PM,0,0,N,911,MAIN ST,MELROSE,2176,23,Corey St,MELROSE,2176,"911 MAIN ST, MELROSE, 2176","23 Corey St, MELROSE, 2176","42.4657399,-71.06132900000001","42.4527597,-71.06735549999999"
731,N,ADA,P,4:00 PM,0,0,N,29,Corey St,MELROSE,2176,917,MAIN ST,MELROSE,2176,"29 Corey St, MELROSE, 2176","917 MAIN ST, MELROSE, 2176","42.4527796,-71.0673465","42.4659059,-71.061263"
732,N,ADA,A,10:45 AM,1,0,N,52,TORREY ST,DORCHESTER CENTER,2124,2106,DORCHESTER AVE,DORCHESTER,2124,"52 TORREY ST, DORCHESTER CENTER, 2124","2106 DORCHESTER AVE, DORCHESTER, 2124","42.2870493,-71.0735808","42.2773344,-71.0654249"
733,N,ADA,P,12:45 PM,1,0,N,2104,DORCHESTER AVE,DORCHESTER,2124,50,TORREY ST,DORCHESTER CENTER,2124,"2104 DORCHESTER AVE, DORCHESTER, 2124","50 TORREY ST, DORCHESTER CENTER, 2124","42.2773344,-71.0654249","42.2870684,-71.0734719"
734,N,ADA,A,2:30 PM,0,0,N,1879,Dorchester Ave,DORCHESTER,2124,264,TREMONT ST,BOSTON,2116,"1879 Dorchester Ave, DORCHESTER, 2124","264 TREMONT ST, BOSTON, 2116","42.2868627,-71.0641792","42.3502148,-71.0647924"
735,N,ADA,P,4:00 PM,0,0,N,265,TREMONT ST,BOSTON,2116,1880,Dorchester Ave,DORCHESTER,2124,"265 TREMONT ST, BOSTON, 2116","1880 Dorchester Ave, DORCHESTER, 2124","42.3503978,-71.0653975","42.286758,-71.063754"
738,Y,ADA,P,1:30 PM,0,0,N,21,WEBSTER PL,BROOKLINE,2445,26,VIRGINIA ST,DORCHESTER,2125,"21 WEBSTER PL, BROOKLINE, 2445","26 VIRGINIA ST, DORCHESTER, 2125","42.3336952,-71.1183674","42.3163175,-71.067465"
739,Y,ADA,P,8:30 AM,0,0,N,31,VIRGINIA ST,DORCHESTER,2125,26,WEBSTER PL,BROOKLINE,2445,"31 VIRGINIA ST, DORCHESTER, 2125","26 WEBSTER PL, BROOKLINE, 2445","42.316256,-71.0678132","42.3335546,-71.11750669999999"
740,N,ADA,A,11:00 AM,0,0,N,389,OCEAN AVE,REVERE,2151,577,Rutherford Ave,CHARLESTOWN,2129,"389 OCEAN AVE, REVERE, 2151","577 Rutherford Ave, CHARLESTOWN, 2129","42.4117318,-70.990951","42.3829344,-71.072372"
741,N,ADA,P,12:00 PM,0,0,N,573,Rutherford Ave,CHARLESTOWN,2129,385,OCEAN AVE,REVERE,2151,"573 Rutherford Ave, CHARLESTOWN, 2129","385 OCEAN AVE, REVERE, 2151","42.3828749,-71.0723366","42.411478,-70.9910352"
742,N,ADA,P,11:00 AM,0,0,N,85,"Coddington St, Ymca",Quincy,2169,7,"Ashburton Pl, Mccormick Building",Boston,2108,"85 Coddington St, Ymca, Quincy, 2169","7 Ashburton Pl, Mccormick Building, Boston, 2108","42.25379059999999,-70.99833079999999","42.3595958,-71.0623588"
743,N,ADA,P,1:00 PM,0,0,N,3,"Ashburton Pl, Mccormick Building",Boston,2108,81,"Coddington St, Ymca",Quincy,2169,"3 Ashburton Pl, Mccormick Building, Boston, 2108","81 Coddington St, Ymca, Quincy, 2169","42.3595958,-71.0623588","42.25379059999999,-70.99833079999999"
744,N,ADA,A,11:45 AM,1,0,N,124,FULLER ST,BROOKLINE,2446,6,Longfellow Pl,BOSTON,2114,"124 FULLER ST, BROOKLINE, 2446","6 Longfellow Pl, BOSTON, 2114","42.3476394,-71.1251911","42.3636535,-71.0643534"
745,N,ADA,P,12:30 PM,1,0,N,6,Longfellow Pl,BOSTON,2114,124,FULLER ST,BROOKLINE,2446,"6 Longfellow Pl, BOSTON, 2114","124 FULLER ST, BROOKLINE, 2446","42.3636535,-71.0643534","42.3476394,-71.1251911"
746,Y,ADA,A,9:30 AM,0,0,N,14,RIVERSIDE ST,WATERTOWN,2472,25,Campanella Way,NEWTON,2135,"14 RIVERSIDE ST, WATERTOWN, 2472","25 Campanella Way, NEWTON, 2135","42.3642554,-71.1828366","42.3370136,-71.16841509999999"
747,Y,ADA,P,2:00 PM,0,0,N,22,Campanella Way,NEWTON,2135,11,RIVERSIDE ST,WATERTOWN,2472,"22 Campanella Way, NEWTON, 2135","11 RIVERSIDE ST, WATERTOWN, 2472","42.3370136,-71.16841509999999","42.3645432,-71.18370399999999"
748,N,ADA,A,6:00 PM,0,0,N,13,RIVERSIDE ST,WATERTOWN,2472,143,COMMONWEALTH AVE,CHESTNUT HILL,2467,"13 RIVERSIDE ST, WATERTOWN, 2472","143 COMMONWEALTH AVE, CHESTNUT HILL, 2467","42.3644401,-71.18365210000002","42.3377384,-71.1719157"
749,N,ADA,P,7:00 PM,0,0,N,147,COMMONWEALTH AVE,CHESTNUT HILL,2467,17,RIVERSIDE ST,WATERTOWN,2472,"147 COMMONWEALTH AVE, CHESTNUT HILL, 2467","17 RIVERSIDE ST, WATERTOWN, 2472","42.3372326,-71.1721161","42.3635508,-71.18241859999999"
750,Y,ADA,P,8:45 PM,0,0,N,906,COVENTRY LN,NORWOOD,2062,30,Dorchester Ave,BOSTON,2111,"906 COVENTRY LN, NORWOOD, 2062","30 Dorchester Ave, BOSTON, 2111","42.1725055,-71.2241064","42.3446531,-71.0572578"
751,N,ADA,A,12:35 PM,0,0,N,69,THURSTON RD,NEWTON UPPER FALLS,2464,151,CALIFORNIA ST,NEWTON,2458,"69 THURSTON RD, NEWTON UPPER FALLS, 2464","151 CALIFORNIA ST, NEWTON, 2458","42.31549690000001,-71.2191497","42.36469659999999,-71.193634"
752,N,ADA,P,2:00 PM,0,0,N,157,CALIFORNIA ST,NEWTON,2458,75,THURSTON RD,NEWTON UPPER FALLS,2464,"157 CALIFORNIA ST, NEWTON, 2458","75 THURSTON RD, NEWTON UPPER FALLS, 2464","42.3647049,-71.1942731","42.315396,-71.2194105"
753,N,ADA,A,10:00 AM,0,0,N,70,MAIN ST,EVERETT,2149,94,Chelsea St,EVERETT,2149,"70 MAIN ST, EVERETT, 2149","94 Chelsea St, EVERETT, 2149","42.4033566,-71.0615613","42.405161,-71.051788"
754,N,ADA,P,11:00 AM,0,0,N,97,Chelsea St,EVERETT,2149,73,MAIN ST,EVERETT,2149,"97 Chelsea St, EVERETT, 2149","73 MAIN ST, EVERETT, 2149","42.4050767,-71.05202849999999","42.4036354,-71.0606925"
755,N,ADA,A,7:15 AM,0,0,N,9,ALARIC ST,WEST ROXBURY,2132,331,BROOKLINE AVE,BOSTON,2215,"9 ALARIC ST, WEST ROXBURY, 2132","331 BROOKLINE AVE, BOSTON, 2215","42.2772729,-71.1608885","42.34064600000001,-71.1057111"
756,N,ADA,A,11:15 AM,0,0,N,35,RIVER ST,ARLINGTON,2474,487,BEDFORD ST,LEXINGTON,2420,"35 RIVER ST, ARLINGTON, 2474","487 BEDFORD ST, LEXINGTON, 2420","42.4129866,-71.140693","42.4767792,-71.252192"
757,N,ADA,P,12:10 PM,0,0,N,484,BEDFORD ST,LEXINGTON,2420,32,RIVER ST,ARLINGTON,2474,"484 BEDFORD ST, LEXINGTON, 2420","32 RIVER ST, ARLINGTON, 2474","42.475506,-71.2521576","42.4127718,-71.141147"
758,N,ADA,A,7:45 AM,0,0,N,18,WABON ST,DORCHESTER,2121,199,GENEVA AVE,DORCHESTER,2121,"18 WABON ST, DORCHESTER, 2121","199 GENEVA AVE, DORCHESTER, 2121","42.3143567,-71.08573919999999","42.3048276,-71.0754682"
759,N,ADA,P,12:00 PM,0,0,N,203,GENEVA AVE,DORCHESTER,2121,22,WABON ST,DORCHESTER,2121,"203 GENEVA AVE, DORCHESTER, 2121","22 WABON ST, DORCHESTER, 2121","42.3049853,-71.0751111","42.3144332,-71.0860897"
760,N,ADA,P,9:25 AM,1,0,N,31,Alleyne St,West Roxbury,2132,154,"Belgrade Ave, Dr Office",Roslindale,2131,"31 Alleyne St, West Roxbury, 2132","154 Belgrade Ave, Dr Office, Roslindale, 2131","42.2720618,-71.1477577","42.28607299999999,-71.136786"
761,N,ADA,P,7:00 PM,0,0,N,29,BURROUGHS ST,JAMAICA PLAIN,2130,3,CLIFFMONT ST,ROSLINDALE,2131,"29 BURROUGHS ST, JAMAICA PLAIN, 2130","3 CLIFFMONT ST, ROSLINDALE, 2131","42.3128015,-71.1156065","42.2786498,-71.1206033"
762,N,ADA,P,3:00 PM,1,0,N,106,ARCH ST,BOSTON,2110,178,BOSTON ST,DORCHESTER,2125,"106 ARCH ST, BOSTON, 2110","178 BOSTON ST, DORCHESTER, 2125","42.3549773,-71.0584958","42.323677,-71.0601933"
763,N,ADA,A,9:15 AM,1,0,N,176,BOSTON ST,DORCHESTER,2125,104,ARCH ST,BOSTON,2110,"176 BOSTON ST, DORCHESTER, 2125","104 ARCH ST, BOSTON, 2110","42.3237214,-71.060161","42.35499129999999,-71.0584813"
764,N,ADA,P,9:20 PM,1,0,N,321,Hanover St,BOSTON,2113,215,L ST,SOUTH BOSTON,2127,"321 Hanover St, BOSTON, 2113","215 L ST, SOUTH BOSTON, 2127","42.364057,-71.05396460000001","42.33119019999999,-71.0354206"
765,N,ADA,A,6:15 PM,1,0,N,218,L ST,SOUTH BOSTON,2127,324,Hanover St,BOSTON,2113,"218 L ST, SOUTH BOSTON, 2127","324 Hanover St, BOSTON, 2113","42.3307584,-71.0349925","42.3646338,-71.05389"
766,N,ADA,A,10:40 AM,1,0,N,24,BOND ST,LYNN,1902,38,FRUIT ST,BOSTON,2114,"24 BOND ST, LYNN, 1902","38 FRUIT ST, BOSTON, 2114","42.462281,-70.9530269","42.3624241,-71.0695786"
767,N,ADA,P,1:00 PM,1,0,N,35,FRUIT ST,BOSTON,2114,21,BOND ST,LYNN,1902,"35 FRUIT ST, BOSTON, 2114","21 BOND ST, LYNN, 1902","42.3624286,-71.068887","42.4621988,-70.9534601"
768,N,ADA,A,11:00 AM,0,0,N,35,QUARTERDECK RD,QUINCY,2169,162,MILTON ST,QUINCY,2170,"35 QUARTERDECK RD, QUINCY, 2169","162 MILTON ST, QUINCY, 2170","42.25433,-70.96256","42.2606116,-71.03250849999999"
769,N,ADA,P,4:00 PM,0,0,N,162,MILTON ST,QUINCY,2170,35,QUARTERDECK RD,QUINCY,2169,"162 MILTON ST, QUINCY, 2170","35 QUARTERDECK RD, QUINCY, 2169","42.2606116,-71.03250849999999","42.25433,-70.96256"
770,N,ADA,A,8:30 AM,0,0,N,28,COCHATO PARK,RANDOLPH,2368,5,ASHBURTON PL,BOSTON,2108,"28 COCHATO PARK, RANDOLPH, 2368","5 ASHBURTON PL, BOSTON, 2108","42.1709037,-71.0295646","42.3590293,-71.0628541"
771,N,ADA,P,3:00 PM,0,0,N,4,ASHBURTON PL,BOSTON,2108,27,COCHATO PARK,RANDOLPH,2368,"4 ASHBURTON PL, BOSTON, 2108","27 COCHATO PARK, RANDOLPH, 2368","42.358836,-71.0628332","42.1707209,-71.0302974"
772,Y,ADA,P,8:00 AM,0,0,N,333,GROVE ST,NEWTON,2462,64,HARVARD ST,BROOKLINE,2445,"333 GROVE ST, NEWTON, 2462","64 HARVARD ST, BROOKLINE, 2445","42.3375722,-71.2516781","42.33510200000001,-71.12000990000001"
773,Y,ADA,A,12:30 PM,0,0,N,68,HARVARD ST,BROOKLINE,2445,337,GROVE ST,NEWTON,2462,"68 HARVARD ST, BROOKLINE, 2445","337 GROVE ST, NEWTON, 2462","42.335294,-71.12001339999999","42.3366749,-71.2519197"
774,N,ADA,P,8:00 PM,0,0,N,39,Station St,BROOKLINE,2445,58,HIXSON FARM RD,SHARON,2067,"39 Station St, BROOKLINE, 2445","58 HIXSON FARM RD, SHARON, 2067","42.3331321,-71.11658419999999","42.1353343,-71.15659409999999"
775,N,ADA,A,3:00 PM,0,0,N,56,HIXSON FARM RD,SHARON,2067,37,Station St,BROOKLINE,2445,"56 HIXSON FARM RD, SHARON, 2067","37 Station St, BROOKLINE, 2445","42.1353522,-71.1566189","42.3327091,-71.1171258"
776,N,ADA,P,9:15 AM,0,0,N,27,Charlesgate W,BOSTON,2215,57,STANIFORD ST,BOSTON,2114,"27 Charlesgate W, BOSTON, 2215","57 STANIFORD ST, BOSTON, 2114","42.3491978,-71.0928442","42.3629215,-71.0636352"
777,N,ADA,P,2:15 PM,0,0,N,183,CAMBRIDGE ST,BOSTON,2114,282,CHELSEA ST,EAST BOSTON,2128,"183 CAMBRIDGE ST, BOSTON, 2114","282 CHELSEA ST, EAST BOSTON, 2128","42.361841,-71.06540020000001","42.3760722,-71.0315942"
778,N,ADA,P,3:00 PM,0,0,N,1204,Brush Hill Rd,MILTON,2186,254,CAMBRIDGE ST,BOSTON,2114,"1204 Brush Hill Rd, MILTON, 2186","254 CAMBRIDGE ST, BOSTON, 2114","42.2319825,-71.1236459","42.3609222,-71.0674236"
779,N,ADA,A,1:30 PM,0,0,N,252,CAMBRIDGE ST,BOSTON,2114,1202,Brush Hill Rd,MILTON,2186,"252 CAMBRIDGE ST, BOSTON, 2114","1202 Brush Hill Rd, MILTON, 2186","42.3609233,-71.06737249999999","42.2330514,-71.1228831"
780,N,ADA,A,12:00 PM,0,0,Y,187,FULLER ST,BROOKLINE,2446,1091,Main St,MELROSE,2176,"187 FULLER ST, BROOKLINE, 2446","1091 Main St, MELROSE, 2176","42.3498058,-71.1245283","42.4719578,-71.06124609999999"
781,N,ADA,P,2:30 PM,0,0,Y,1090,Main St,MELROSE,2176,186,FULLER ST,BROOKLINE,2446,"1090 Main St, MELROSE, 2176","186 FULLER ST, BROOKLINE, 2446","42.4718025,-71.06155509999999","42.3497117,-71.12479600000002"
782,N,ADA,P,2:00 PM,0,0,N,352,WALNUT ST,NEWTON,2460,1272,Main St,WALTHAM,2451,"352 WALNUT ST, NEWTON, 2460","1272 Main St, WALTHAM, 2451","42.3489989,-71.2068393","42.3763752,-71.2646121"
783,N,ADA,P,5:00 PM,0,0,N,1272,Main St,WALTHAM,2451,167,Stanton Ave,NEWTON,2466,"1272 Main St, WALTHAM, 2451","167 Stanton Ave, NEWTON, 2466","42.3763752,-71.2646121","42.3343987,-71.24307139999999"
784,N,ADA,P,8:45 AM,0,0,Y,113,Francis St,BOSTON,2215,32,KENSINGTON PARK,ROXBURY,2119,"113 Francis St, BOSTON, 2215","32 KENSINGTON PARK, ROXBURY, 2119","42.334121,-71.1048866","42.3221142,-71.08273969999999"
785,Y,ADA,A,6:00 AM,0,0,N,1348,HYDE PARK AVE,HYDE PARK,2136,79,FRANCIS ST,BOSTON,2115,"1348 HYDE PARK AVE, HYDE PARK, 2136","79 FRANCIS ST, BOSTON, 2115","42.2329484,-71.1336013","42.334121,-71.1048866"
786,Y,ADA,P,1:00 PM,0,0,N,81,FRANCIS ST,BOSTON,2115,1350,HYDE PARK AVE,HYDE PARK,2136,"81 FRANCIS ST, BOSTON, 2115","1350 HYDE PARK AVE, HYDE PARK, 2136","42.3366257,-71.10874299999999","42.2329484,-71.1336013"
787,N,ADA,A,11:55 AM,0,0,N,7,TRINITY TER,DORCHESTER,2121,503,Sprague St,DEDHAM,2026,"7 TRINITY TER, DORCHESTER, 2121","503 Sprague St, DEDHAM, 2026","42.3010801,-71.0778734","42.2328588,-71.1398878"
788,N,ADA,P,4:00 PM,0,0,N,506,Sprague St,DEDHAM,2026,10,TRINITY TER,DORCHESTER,2121,"506 Sprague St, DEDHAM, 2026","10 TRINITY TER, DORCHESTER, 2121","42.2336459,-71.14053489999999","42.3015905,-71.0781889"
789,Y,ADA,A,7:30 AM,1,0,N,58,DORCHESTER ST,WALTHAM,2453,333,WALNUT ST,NEWTONVILLE,2460,"58 DORCHESTER ST, WALTHAM, 2453","333 WALNUT ST, NEWTONVILLE, 2460","42.3739936,-71.26550089999999","42.3496649,-71.2071254"
790,Y,ADA,P,6:00 PM,0,0,N,1159,CENTRE ST,JAMAICA PLAIN,2130,37,HAZELTON ST,MATTAPAN,2126,"1159 CENTRE ST, JAMAICA PLAIN, 2130","37 HAZELTON ST, MATTAPAN, 2126","42.3007795,-71.12862419999999","42.2851884,-71.22006809999999"
791,Y,ADA,A,1:30 PM,0,0,N,36,HAZELTON ST,MATTAPAN,2126,1158,CENTRE ST,JAMAICA PLAIN,2130,"36 HAZELTON ST, MATTAPAN, 2126","1158 CENTRE ST, JAMAICA PLAIN, 2130","42.2853794,-71.2196302","42.2996826,-71.1282626"
792,N,ADA,A,9:30 AM,0,0,N,447,CENTRE ST,MILTON,2186,1264,Furnace Brook Pkwy,QUINCY,2169,"447 CENTRE ST, MILTON, 2186","1264 Furnace Brook Pkwy, QUINCY, 2169","42.2584311,-71.0578845","42.2438518,-71.02460049999999"
793,N,ADA,P,1:30 PM,0,0,N,1265,Furnace Brook Pkwy,QUINCY,2169,448,CENTRE ST,MILTON,2186,"1265 Furnace Brook Pkwy, QUINCY, 2169","448 CENTRE ST, MILTON, 2186","42.2439224,-71.0253287","42.2587571,-71.0573023"
794,N,ADA,A,11:00 AM,0,0,N,107,STETSON ST,BRAINTREE,2184,702,MIDDLE ST,WEYMOUTH,2188,"107 STETSON ST, BRAINTREE, 2184","702 MIDDLE ST, WEYMOUTH, 2188","42.21698869999999,-70.9734902","42.2013121,-70.9455914"
795,N,ADA,P,3:00 PM,0,0,N,702,MIDDLE ST,WEYMOUTH,2188,107,STETSON ST,BRAINTREE,2184,"702 MIDDLE ST, WEYMOUTH, 2188","107 STETSON ST, BRAINTREE, 2184","42.2013121,-70.9455914","42.21698869999999,-70.9734902"
796,Y,ADA,P,2:20 PM,0,0,N,23,DRYDOCK AVE,BOSTON,2210,602,Canton Ave,MILTON,2186,"23 DRYDOCK AVE, BOSTON, 2210","602 Canton Ave, MILTON, 2186","42.3442395,-71.0300039","42.2511709,-71.0835209"
797,N,ADA,A,8:00 AM,0,0,N,603,CANTON AVE,MILTON,2186,24,DRYDOCK AVE,BOSTON,2210,"603 CANTON AVE, MILTON, 2186","24 DRYDOCK AVE, BOSTON, 2210","42.2518614,-71.08278609999999","42.3447096,-71.0319335"
800,N,ADA,A,11:30 AM,0,0,N,1007,LORING AVE,SALEM,1970,157,S HUNTINGTON AVE,JAMAICA PLAIN,2130,"1007 LORING AVE, SALEM, 1970","157 S HUNTINGTON AVE, JAMAICA PLAIN, 2130","42.485572,-70.90200639999999","42.32702310000001,-71.1111545"
801,N,ADA,P,2:00 PM,0,0,N,154,S HUNTINGTON AVE,JAMAICA PLAIN,2130,1004,LORING AVE,SALEM,1970,"154 S HUNTINGTON AVE, JAMAICA PLAIN, 2130","1004 LORING AVE, SALEM, 1970","42.32799989999999,-71.1108016","42.48495700000001,-70.9046467"
802,N,ADA,P,3:30 PM,0,0,N,110,S Huntington Ave,JAMAICA PLAIN,2130,133,PARK ST,DORCHESTER,2122,"110 S Huntington Ave, JAMAICA PLAIN, 2130","133 PARK ST, DORCHESTER, 2122","42.3290707,-71.1108285","42.298858,-71.0603762"
803,N,ADA,A,9:15 AM,0,0,N,134,PARK ST,DORCHESTER,2122,176,MORTON ST,JAMAICA PLAIN,2130,"134 PARK ST, DORCHESTER, 2122","176 MORTON ST, JAMAICA PLAIN, 2130","42.2986911,-71.06013639999999","42.2757164,-71.07350269999999"
804,N,ADA,P,10:30 AM,0,0,N,175,MORTON ST,JAMAICA PLAIN,2130,110,S Huntington Ave,JAMAICA PLAIN,2130,"175 MORTON ST, JAMAICA PLAIN, 2130","110 S Huntington Ave, JAMAICA PLAIN, 2130","42.2757164,-71.07350269999999","42.3290707,-71.1108285"
805,N,ADA,P,1:00 PM,1,0,N,10,ESSINGTON DR,HINGHAM,2043,130,BARHAM AVE,QUINCY,2171,"10 ESSINGTON DR, HINGHAM, 2043","130 BARHAM AVE, QUINCY, 2171","42.2503806,-70.9211515","42.264769,-71.0360986"
806,N,ADA,A,12:00 PM,1,0,N,127,BARHAM AVE,QUINCY,2171,7,ESSINGTON DR,HINGHAM,2043,"127 BARHAM AVE, QUINCY, 2171","7 ESSINGTON DR, HINGHAM, 2043","42.26483899999999,-71.0367946","42.2499131,-70.92260259999999"
807,N,ADA,A,1:30 PM,0,0,N,11,OAKLAND ST,LEXINGTON,2420,7,WOODLAND RD,STONEHAM,2180,"11 OAKLAND ST, LEXINGTON, 2420","7 WOODLAND RD, STONEHAM, 2180","42.4487102,-71.22632639999999","42.4575123,-71.0888361"
808,N,ADA,P,2:30 PM,0,0,N,8,WOODLAND RD,STONEHAM,2180,12,OAKLAND ST,LEXINGTON,2420,"8 WOODLAND RD, STONEHAM, 2180","12 OAKLAND ST, LEXINGTON, 2420","42.4573586,-71.0884701","42.44948979999999,-71.2257094"
809,N,ADA,A,2:00 PM,0,0,N,26,WABAN ST,SAUGUS,1906,777,Broadway,SAUGUS,1906,"26 WABAN ST, SAUGUS, 1906","777 Broadway, SAUGUS, 1906","42.4582297,-71.00525569999999","42.4765182,-71.023975"
810,N,ADA,P,11:00 PM,0,0,N,774,Broadway,SAUGUS,1906,23,WABAN ST,SAUGUS,1906,"774 Broadway, SAUGUS, 1906","23 WABAN ST, SAUGUS, 1906","42.4723824,-71.0234516","42.4585568,-71.0050782"
